Date,High
2020-04-29,63.78
2020-04-28,62.28
2020-04-27,60.71
2020-04-24,58.96
2020-04-23,59.46
2020-04-22,59.58
2020-04-21,60.91
2020-04-20,62.6
2020-04-17,62.44
2020-04-16,60.92
2020-04-15,61.52
2020-04-14,63.51
2020-04-13,63.29
2020-04-09,64.21
2020-04-08,62.69
2020-04-07,64.25
2020-04-06,61.03
2020-04-03,59.29
2020-04-02,60.78
2020-04-01,59.73
2020-03-31,62.12
2020-03-30,59.96
2020-03-27,60.51
2020-03-26,63.52
2020-03-25,62.71
2020-03-24,56.42
2020-03-23,54.27
2020-03-20,58.97
2020-03-19,56.88
2020-03-18,59.85
2020-03-17,65.2
2020-03-16,61.72
2020-03-13,65.05
2020-03-12,59.51
2020-03-11,66.21
2020-03-10,67.99
2020-03-09,69.25
2020-03-06,73.5
2020-03-05,74.72
2020-03-04,76.72
2020-03-03,77.53
2020-03-02,76.81
2020-02-28,75.04
2020-02-27,77.24
2020-02-26,80.44
2020-02-25,81.47
2020-02-24,81.71
2020-02-21,82.74
2020-02-20,81.72
2020-02-19,81.73
2020-02-18,81.53
2020-02-14,81.99
2020-02-13,81.75
2020-02-12,81.55
2020-02-11,81.23
2020-02-10,80.7
2020-02-07,80.82
2020-02-06,80.95
2020-02-05,80.66
2020-02-04,80.2
2020-02-03,79.49
2020-01-31,79.58
2020-01-30,80.16
2020-01-29,80.5
2020-01-28,80.44
2020-01-27,80.17
2020-01-24,81.17
2020-01-23,81.73
2020-01-22,81.9
2020-01-21,82.08
2020-01-17,81.73
2020-01-16,81.68
2020-01-15,80.8
2020-01-14,80.63
2020-01-13,80.24
2020-01-10,80.14
2020-01-09,80.09
2020-01-08,80.22
2020-01-07,79.66
2020-01-06,79.61
2020-01-03,79.66
2020-01-02,79.78
2019-12-31,79.31
2019-12-30,79.32
2019-12-27,79.25
2019-12-26,78.83
2019-12-24,78.69
2019-12-23,79.28
2019-12-20,79.43
2019-12-19,79.29
2019-12-18,79.78
2019-12-17,79.64
2019-12-16,80.21
2019-12-13,79.73
2019-12-12,79.07
2019-12-11,78.82
2019-12-10,78.83
2019-12-09,79.2
2019-12-06,79.65
2019-12-05,79.59
